OrderID,CustomerID,ProductName,Category,Quantity,UnitPrice,OrderDate,City,PaymentMethod,Discount
10001,1117,Console,Gaming,5,668.89,2025-02-13,Bari,Carta,20.0
10002,1125,Aspirapolvere,Casa,5,977.43,2025-01-28,Napoli,Carta,17.0
10003,1120,Manuale Python,Libri,10,319.34,2025-06-21,Bari,Carta,37.0
10004,1035,Laptop,Elettronica,5,195.84,2025-11-04,Bologna,Contrassegno,7.0
10005,1008,Monitor,Elettronica,4,763.63,2025-08-07,Roma,PayPal,25.0
10006,1020,Joystick,Gaming,5,919.24,2025-10-02,Milano,Carta,31.0
10007,1021,Smartphone,Elettronica,2,899.24,2025-12-03,Firenze,PayPal,19.0
10008,1021,Bicicletta,Sport,1,256.09,2025-12-26,Firenze,Bonifico,22.0
10009,1058,Monitor,Elettronica,10,627.71,2025-04-08,Roma,PayPal,
10010,1090,Smartphone,Elettronica,2,848.07,2025-07-13,Roma,,13.0
10011,1100,Console,Gaming,5,254.21,2025-05-25,Roma,Contrassegno,-10.0
10012,1007,Smartphone,Elettronica,10,237.63,2025-12-11,Napoli,Bonifico,16.0
10013,1196,Aspirapolvere,Casa,1,565.59,2025-01-15,Roma,Carta,19.0
10014,1130,Tablet,Elettronica,5,499.38,2025-08-23,Milano,PayPal,37.0
10015,1180,Romanzo,Libri,2,139.47,2025-10-02,Bologna,PayPal,22.0
10016,1103,Romanzo,Libri,9,645.34,2025-11-15,Palermo,Contrassegno,25.0
10017,1149,Giacca,Abbigliamento,10,38.35,2025-10-15,Palermo,Contrassegno,39.0
10018,1158,Tostapane,Casa,2,61.08,2025-03-13,Roma,Bonifico,4.0
10019,1181,Smartphone,Elettronica,9,790.24,2025-01-25,Milano,Carta,19.0
10020,1027,Console,Gaming,5,57.21,2025-10-25,Firenze,PayPal,37.0
10021,1121,Bicicletta,Sport,5,264.35,2025-01-07,Torino,Carta,20.0
10022,1053,Cuffie Gaming,Gaming,2,545.87,2025-10-06,Torino,PayPal,23.0
10023,1159,Joystick,Gaming,5,814.74,2025-03-10,Bologna,Contrassegno,18.0
10024,1164,Tostapane,Casa,4,74.92,2025-02-24,Bari,Bonifico,0.0
10025,1068,Tablet,Elettronica,8,701.95,2025-01-18,Bari,Contrassegno,20.0
10026,1111,Bicicletta,Sport,5,0.0,2025-11-19,Bologna,Carta,38.0
10027,1026,Felpa,Abbigliamento,10,333.88,2025-08-16,Firenze,Contrassegno,
10028,1172,Aspirapolvere,Casa,3,716.49,2025-06-19,Milano,PayPal,8.0
10029,1104,Felpa,Abbigliamento,10,643.31,2025-03-07,Milano,Carta,40.0
10030,1170,Lampada,Casa,7,480.83,2025-04-20,Bologna,,21.0
10031,1080,Tostapane,Casa,5,149.46,2025-07-19,Bari,PayPal,33.0
10032,1039,Joystick,Gaming,3,411.05,2025-02-10,Bologna,Carta,28.0
10033,1173,Joystick,Gaming,9,197.26,2025-05-27,Torino,Bonifico,36.0
10034,1149,Bicicletta,Sport,1,110.3,2025-08-01,Bari,Contrassegno,35.0
10035,1198,Tostapane,Casa,4,363.99,2025-12-09,Milano,Carta,0.0
10036,1092,Aspirapolvere,Casa,5,416.51,2025-08-26,Bari,PayPal,7.0
10037,1043,Monitor,Elettronica,6,973.0,2025-05-12,Milano,Carta,150.0
10038,1105,Felpa,Abbigliamento,1,566.96,2025-11-05,Bologna,Carta,32.0
10039,1015,Bicicletta,Sport,5,39.22,2025-08-15,Milano,PayPal,31.0
10040,1000,Cuffie Gaming,Gaming,3,250.02,2025-10-08,Napoli,PayPal,
10041,1154,Tapis Roulant,Sport,8,815.6,2025-04-10,Torino,PayPal,38.0
10042,1029,Tablet,Elettronica,8,832.68,2025-12-09,Napoli,Contrassegno,19.0
10043,1174,Tapis Roulant,Sport,8,419.64,2025-06-21,Bologna,,1.0
10044,1073,Console,Gaming,2,966.22,2025-11-12,Milano,PayPal,28.0
10045,1188,Smartphone,Elettronica,9,163.84,2025-08-01,Firenze,Bonifico,13.0
10046,1053,Manuale Python,Libri,7,516.83,2025-03-07,Milano,Contrassegno,28.0
10047,1094,Aspirapolvere,Casa,6,471.91,2025-09-03,Roma,Bonifico,3.0
10048,1069,Cuffie Gaming,Gaming,1,611.74,2025-05-22,Milano,,29.0
10049,1051,Cuffie Gaming,Gaming,4,727.76,2025-10-04,Roma,Bonifico,10.0
10050,1187,Jeans,Abbigliamento,4,961.26,2025-06-07,Palermo,PayPal,7.0
10051,1184,Joystick,Gaming,2,168.32,2025-10-25,Bari,Carta,37.0
10052,1112,Console,Gaming,3,492.29,2025-07-21,Roma,PayPal,0.0
10053,1020,Thriller,Libri,4,124.62,2025-07-06,Torino,Bonifico,10.0
10054,1164,Manuale Python,Libri,9,56.47,2025-01-21,Firenze,Bonifico,23.0
10055,1177,Tapis Roulant,Sport,7,466.87,2025-12-13,Milano,Bonifico,9.0
10056,1055,Thriller,Libri,10,266.39,2025-02-08,Firenze,Bonifico,20.0
10057,1193,Cuffie Gaming,Gaming,1,572.61,2025-06-26,Torino,,29.0
10058,1016,Tostapane,Casa,5,319.66,2025-05-25,Bari,PayPal,33.0
10059,1061,Romanzo,Libri,8,134.67,2025-03-25,Napoli,Bonifico,12.0
10060,1162,Thriller,Libri,9,942.59,2025-09-05,,Contrassegno,21.0
10061,1054,Lampada,Casa,9,724.3,2025-03-10,Napoli,PayPal,35.0
10062,1067,Tablet,Elettronica,10,18.29,2025-09-21,Bari,Carta,150.0
10063,1195,Lampada,Casa,9,693.91,2025-07-26,Bologna,Contrassegno,21.0
10064,1124,Felpa,Abbigliamento,2,530.1,2025-01-22,Torino,Bonifico,22.0
10065,1083,Aspirapolvere,Casa,10,835.35,2025-02-26,Bari,PayPal,4.0
